customer_id,signup_date,acquisition_channel,device_type,age_group,country,is_premium
1001,2022-08-17,paid_search,mobile,25-34,US,False
1002,2022-02-21,referral,mobile,25-34,UK,True
1003,2023-07-18,social,desktop,25-34,UK,False
1004,2023-05-17,social,mobile,35-44,DE,False
1005,2023-04-03,organic,desktop,35-44,DE,False
1006,2022-10-13,organic,mobile,45-54,DE,False
1007,2022-07-29,organic,desktop,18-24,DE,False
1008,2022-06-28,email,desktop,35-44,UK,True
1009,2024-05-14,,,,,
1010,2022-03-07,social,mobile,45-54,DE,False
1011,2022-03-03,organic,mobile,55+,DE,False
1012,2022-07-11,referral,desktop,45-54,DE,True
1013,2023-03-24,email,mobile,55+,NL,True
1014,2023-04-22,organic,desktop,25-34,US,False
1015,2024-10-31,organic,mobile,35-44,FR,False
1016,2022-02-24,organic,mobile,18-24,FR,False
1017,2023-02-12,paid_search,mobile,18-24,US,False
1018,2024-05-09,paid_search,mobile,25-34,UK,False
1019,2023-03-28,paid_search,desktop,18-24,DE,False
1020,2024-07-08,organic,desktop,25-34,UK,False
1021,2023-07-24,social,desktop,25-34,DE,False
1022,2022-01-14,organic,mobile,18-24,FR,False
1023,2022-11-23,organic,tablet,55+,DE,False
1024,2024-05-15,,,,,
1025,2023-11-28,paid_search,tablet,45-54,DE,False
1026,2023-07-24,email,mobile,25-34,FR,False
1027,2022-11-15,organic,mobile,55+,US,True
1028,2023-03-17,paid_search,mobile,55+,UK,True
1029,2023-11-21,social,desktop,35-44,US,False
1030,2022-07-29,,,,,
1031,2022-07-09,social,mobile,18-24,UK,False
1032,2024-02-18,organic,mobile,55+,NL,True
1033,2022-07-18,organic,desktop,45-54,DE,False
1034,2024-01-06,,,,,
1035,2023-12-06,referral,mobile,35-44,UK,True
1036,2023-06-26,email,mobile,25-34,FR,False
1037,2022-03-30,paid_search,desktop,55+,US,False
1038,2024-07-29,organic,tablet,25-34,US,False
1039,2022-09-13,social,desktop,35-44,FR,False
1040,2024-02-15,paid_search,tablet,18-24,US,True
1041,2022-06-11,organic,desktop,55+,US,False
1042,2023-08-24,paid_search,desktop,18-24,DE,False
1043,2024-01-11,organic,mobile,25-34,DE,False
1044,2023-01-29,referral,desktop,35-44,UK,False
1045,2022-05-23,organic,desktop,45-54,UK,True
1046,2022-04-04,social,desktop,35-44,UK,False
1047,2023-04-12,paid_search,mobile,25-34,DE,False
1048,2023-08-16,paid_search,mobile,18-24,US,True
1049,2022-06-13,paid_search,mobile,45-54,US,False
1050,2023-04-22,organic,mobile,55+,US,False
