order_id,customer_id,order_date,product_category,quantity,unit_price,discount_pct,total_revenue,payment_method,order_status
50001,2890,2022-08-17,Home,1,278.33,17.1,230.74,card,returned
50002,3310,2022-02-21,Beauty,1,72.29,7.5,66.87,card,completed
50003,5257,2023-07-18,Sports,1,32.19,9.4,29.16,paypal,completed
50004,2639,2023-05-17,Clothing,1,118.76,2.0,116.38,card,cancelled
50005,5326,2023-04-03,Sports,2,170.82,20.5,271.6,paypal,completed
50006,1476,2022-10-13,Home,3,273.0,7.8,755.12,card,completed
50007,4829,2022-07-29,Clothing,2,86.11,0.9,170.67,card,completed
50008,5216,2022-06-28,Clothing,3,108.47,0.1,325.08,card,completed
50009,1914,2024-05-14,Sports,1,155.53,0.1,155.37,bank_transfer,returned
50010,3079,2022-03-07,Home,1,211.25,0.4,210.4,paypal,cancelled
50011,1811,2022-03-03,Sports,6,133.95,19.4,647.78,paypal,completed
50012,4493,2022-07-11,Home,4,171.04,3.6,659.53,paypal,completed
50013,3626,2023-03-24,Beauty,1,45.72,2.8,44.44,bank_transfer,completed
50014,4142,2023-04-22,Electronics,2,896.7,4.3,1716.28,card,completed
50015,2008,2024-10-31,,2,,,109.69,,
50016,2055,2022-02-24,Sports,1,29.5,2.2,28.85,paypal,completed
50017,1243,2023-02-12,Clothing,2,117.1,0.8,232.33,paypal,completed
50018,2553,2024-05-09,Electronics,2,231.74,0.9,459.31,bank_transfer,completed
50019,3766,2023-03-28,Beauty,1,50.27,7.3,46.6,paypal,completed
50020,5262,2024-07-08,,1,,,40.6,,
50021,4345,2023-07-24,Clothing,3,96.69,18.6,236.12,card,completed
50022,3103,2022-01-14,Clothing,1,142.15,5.0,135.04,card,completed
50023,5754,2022-11-23,Clothing,1,111.17,5.6,104.94,card,completed
50024,4529,2024-05-15,Electronics,3,232.34,21.1,549.95,bank_transfer,completed
50025,5641,2023-11-28,Home,3,291.76,5.6,826.26,card,completed
50026,3574,2023-07-24,Clothing,1,52.98,5.6,50.01,paypal,completed
50027,2250,2022-11-15,Home,4,139.43,3.6,537.64,card,completed
50028,1294,2023-03-17,Home,3,156.95,9.9,424.24,paypal,completed
50029,4575,2023-11-21,Beauty,1,89.2,4.0,85.63,card,completed
50030,1539,2022-07-29,Clothing,2,19.63,7.1,36.47,paypal,completed
50031,2465,2022-07-09,Clothing,3,107.53,4.7,307.43,paypal,completed
50032,3611,2024-02-18,,1,,,57.02,,
50033,3789,2022-07-18,Clothing,2,20.96,14.0,36.05,paypal,completed
50034,3951,2024-01-06,Home,3,281.47,4.3,808.1,card,completed
50035,1813,2023-12-06,Clothing,2,92.57,2.1,181.25,paypal,completed
50036,2828,2023-06-26,Home,2,229.74,6.8,428.24,card,completed
50037,4042,2022-03-30,Electronics,2,254.32,22.2,395.72,paypal,completed
50038,5833,2024-07-29,Electronics,1,697.3,9.5,631.06,card,cancelled
50039,4588,2022-09-13,Sports,2,167.91,2.9,326.08,card,completed
50040,5603,2024-02-15,Beauty,2,41.61,26.4,61.25,card,completed
50041,4741,2022-06-11,Clothing,3,90.06,3.4,260.99,paypal,completed
50042,3907,2023-08-24,Clothing,3,146.05,32.7,294.87,paypal,completed
50043,1982,2024-01-11,Electronics,2,769.71,1.7,1513.25,card,completed
50044,4342,2023-01-29,Home,6,141.77,40.0,510.37,bank_transfer,returned
50045,4076,2022-05-23,Electronics,1,614.88,0.6,611.19,card,completed
50046,3959,2022-04-04,Beauty,1,71.65,10.0,64.49,card,completed
50047,3409,2023-04-12,Beauty,1,7.06,10.8,6.3,card,returned
50048,3577,2023-08-16,,1,,,111.82,,
50049,2617,2022-06-13,Clothing,2,147.82,12.0,260.16,card,completed
50050,3530,2023-04-22,Electronics,1,855.09,5.1,811.48,card,returned
50051,2012,2022-07-26,,1,,,75.45,,
50052,4985,2024-02-18,Electronics,1,140.27,3.5,135.36,bank_transfer,completed
50053,1933,2023-07-24,Electronics,3,894.93,8.2,2464.64,card,completed
50054,1470,2024-07-17,Electronics,4,568.1,8.3,2083.79,card,completed
50055,3108,2024-01-18,Clothing,3,41.2,1.7,121.5,card,completed
50056,4302,2022-11-30,Electronics,1,623.12,2.3,608.79,card,completed
50057,3110,2024-01-29,Clothing,2,129.9,5.3,246.03,card,completed
50058,2349,2023-12-29,Sports,1,34.0,10.4,30.46,paypal,completed
50059,3755,2023-03-06,Home,1,276.17,15.3,233.92,paypal,returned
50060,2665,2023-07-01,Electronics,4,832.16,0.7,3305.34,card,completed
50061,5657,2022-05-27,Electronics,2,61.43,20.8,97.31,card,completed
50062,5603,2022-12-17,Beauty,1,81.52,21.0,64.4,paypal,completed
50063,3465,2024-12-29,Sports,2,190.04,0.1,379.7,paypal,returned
50064,2585,2023-05-17,Electronics,1,82.03,5.6,77.44,card,completed
50065,4650,2022-12-01,Home,1,98.83,7.1,91.81,card,completed
50066,1221,2024-08-04,Beauty,2,36.7,6.5,68.63,paypal,completed
50067,3315,2024-02-17,Beauty,1,34.65,7.7,31.98,card,completed
