session_id,customer_id,session_date,session_duration_min,pages_viewed,funnel_stage_reached,utm_source
90001,4190,2022-08-17 07:55:00,2.89,3.0,visited,email
90002,1565,2022-02-21 08:03:00,22.66,16.0,purchased,paid_search
90003,1446,2023-07-18 17:57:00,2.47,3.0,visited,referral
90004,5591,2023-05-17 12:35:00,17.77,14.0,checkout,social
90005,1949,2023-04-03 16:08:00,25.91,17.0,purchased,email
90006,5105,2022-10-13 23:56:00,8.03,8.0,cart_added,organic
90007,3665,2022-07-29 23:09:00,,,,
90008,1481,2022-06-28 11:32:00,13.17,14.0,checkout,social
90009,5829,2024-05-14 14:14:00,2.34,3.0,visited,paid_search
90010,2224,2022-03-07 21:41:00,3.37,5.0,product_viewed,referral
90011,5307,2022-03-03 06:29:00,19.68,13.0,purchased,paid_search
90012,1832,2022-07-11 13:28:00,6.17,3.0,product_viewed,paid_search
90013,5278,2023-03-24 12:47:00,11.37,10.0,cart_added,paid_search
90014,1081,2023-04-22 10:17:00,0.5,2.0,visited,email
90015,3539,2024-10-31 23:11:00,2.52,3.0,product_viewed,email
90016,4847,2022-02-24 18:29:00,4.32,5.0,product_viewed,referral
90017,5707,2023-02-12 12:49:00,16.71,9.0,purchased,email
90018,5590,2024-05-09 19:03:00,1.2,2.0,visited,social
90019,5098,2023-03-28 14:20:00,0.5,2.0,visited,organic
90020,5481,2024-07-08 20:18:00,3.18,2.0,visited,organic
90021,2018,2023-07-24 10:39:00,2.92,1.0,visited,social
90022,2412,2022-01-14 09:35:00,1.43,1.0,visited,organic
90023,2424,2022-11-23 10:20:00,3.0,2.0,visited,organic
90024,2811,2024-05-15 15:31:00,3.75,5.0,product_viewed,social
90025,2871,2023-11-28 10:47:00,1.66,3.0,visited,email
90026,3664,2023-07-24 08:34:00,6.12,5.0,product_viewed,social
90027,1762,2022-11-15 23:34:00,3.06,1.0,visited,paid_search
90028,4575,2023-03-17 20:56:00,20.86,14.0,purchased,email
90029,1819,2023-11-21 16:28:00,1.29,3.0,visited,organic
90030,2531,2022-07-29 20:50:00,2.78,1.0,visited,paid_search
90031,3477,2022-07-09 21:10:00,10.57,11.0,checkout,organic
90032,4935,2024-02-18 17:57:00,4.6,5.0,product_viewed,paid_search
90033,4692,2022-07-18 14:35:00,12.97,4.0,cart_added,paid_search
90034,4247,2024-01-06 20:59:00,0.5,2.0,visited,paid_search
90035,1750,2023-12-06 15:09:00,,,,
90036,3687,2023-06-26 07:03:00,6.66,2.0,product_viewed,organic
90037,1517,2022-03-30 12:25:00,3.27,5.0,product_viewed,paid_search
90038,2811,2024-07-29 13:12:00,8.04,3.0,product_viewed,social
90039,2992,2022-09-13 21:09:00,7.03,5.0,product_viewed,organic
90040,1268,2024-02-15 17:10:00,7.07,7.0,cart_added,social
90041,2353,2022-06-11 20:44:00,3.6,2.0,product_viewed,paid_search
90042,5829,2023-08-24 18:42:00,15.27,5.0,cart_added,paid_search
90043,5822,2024-01-11 11:33:00,6.23,9.0,cart_added,organic
90044,2707,2023-01-29 18:53:00,6.35,8.0,cart_added,social
90045,1282,2022-05-23 09:44:00,3.82,5.0,product_viewed,paid_search
90046,1890,2022-04-04 12:47:00,0.67,1.0,visited,organic
